displayName,synonyms,compartment,stID
"""Ca2+ [cytosol]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""cytosol""]","""R-ALL-74016"""
"""Ca2+ [endocytic vesicle lumen]""","[""Ca2+"", ""calcium(2+)""]","[""endocytic vesicle lumen""]","""R-ALL-8851519"""
"""Ca2+ [endoplasmic reticulum lumen]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""endoplasmic reticulum lumen""]","""R-ALL-111875"""
"""Ca2+ [endoplasmic reticulum membrane]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""endoplasmic reticulum membrane""]","""R-ALL-1500625"""
"""Ca2+ [endosome membrane]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""endosome membrane""]","""R-ALL-5210949"""
"""Ca2+ [extracellular region]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""extracellular region""]","""R-ALL-74112"""
"""Ca2+ [lysosomal lumen]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""lysosomal lumen""]","""R-ALL-1606834"""
"""Ca2+ [mitochondrial inner membrane]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""mitochondrial inner membrane""]","""R-ALL-1524102"""
"""Ca2+ [mitochondrial intermembrane space]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""mitochondrial intermembrane space""]","""R-ALL-8949232"""
"""Ca2+ [mitochondrial matrix]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""mitochondrial matrix""]","""R-ALL-8949220"""
"""Ca2+ [nuclear envelope]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""nuclear envelope""]","""R-ALL-2318767"""
"""Ca2+ [nucleoplasm]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""nucleoplasm""]","""R-ALL-29496"""
"""Ca2+ [plasma membrane]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""plasma membrane""]","""R-ALL-140648"""
"""Ca2+ [platelet dense granule lumen]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""platelet dense granule lumen""]","""R-ALL-114582"""
"""Ca2+ [platelet dense tubular network lumen]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""platelet dense tubular network lumen""]","""R-ALL-139827"""
"""Ca2+ [platelet dense tubular network membrane]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""platelet dense tubular network membrane""]","""R-ALL-141090"""
"""Ca2+ [sarcoplasmic reticulum lumen]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""sarcoplasmic reticulum lumen""]","""R-ALL-2855229"""
"""Ca2+ [secretory granule lumen]""","[""Ca2+"", ""Calcium"", ""calcium(2+)""]","[""secretory granule lumen""]","""R-ALL-216801"""
"""Cl- [cytosol]""","[""Cl-"", ""chloride""]","[""cytosol""]","""R-ALL-352022"""
"""Cl- [endoplasmic reticulum lumen]""","[""Cl-"", ""chloride""]","[""endoplasmic reticulum lumen""]","""R-ALL-29572"""
"""Cl- [endosome lumen]""","[""Cl-"", ""chloride""]","[""endosome lumen""]","""R-ALL-2731008"""
"""Cl- [extracellular region]""","[""Cl-"", ""chloride""]","[""extracellular region""]","""R-ALL-188972"""
"""Cl- [late endosome lumen]""","[""Cl-"", ""chloride""]","[""late endosome lumen""]","""R-ALL-2731020"""
"""Cl- [lysosomal lumen]""","[""Cl-"", ""chloride""]","[""lysosomal lumen""]","""R-ALL-2730999"""
"""Cl- [phagocytic vesicle lumen]""","[""Cl-"", ""chloride""]","[""phagocytic vesicle lumen""]","""R-ALL-6788973"""
"""Cl- [transport vesicle]""","[""Cl-"", ""chloride""]","[""transport vesicle""]","""R-ALL-879867"""
"""CoA-SH [cytosol]""","[""CoA-SH"", ""coenzyme A""]","[""cytosol""]","""R-ALL-76194"""
"""CoA-SH [endoplasmic reticulum lumen]""","[""CoA-SH"", ""coenzyme A""]","[""endoplasmic reticulum lumen""]","""R-ALL-162743"""
"""CoA-SH [extracellular region]""","[""CoA-SH"", ""coenzyme A""]","[""extracellular region""]","""R-ALL-8939024"""
"""CoA-SH [lysosomal lumen]""","[""CoA-SH"", ""coenzyme A""]","[""lysosomal lumen""]","""R-ALL-1678675"""
"""CoA-SH [mitochondrial matrix]""","[""CoA-SH"", ""CoA"", ""coenzyme A""]","[""mitochondrial matrix""]","""R-ALL-29374"""
"""CoA-SH [nucleoplasm]""","[""CoA-SH"", ""CoA"", ""coenzyme A""]","[""nucleoplasm""]","""R-ALL-2485002"""
"""CoA-SH [peroxisomal matrix]""","[""CoA-SH"", ""coenzyme A""]","[""peroxisomal matrix""]","""R-ALL-193514"""
"""FAD [cytosol]""","[""FAD"", ""Flavin adenine dinucleotide""]","[""cytosol""]","""R-ALL-29386"""
"""FAD [endoplasmic reticulum membrane]""","[""FAD"", ""Flavin adenine dinucleotide""]","[""endoplasmic reticulum membrane""]","""R-ALL-217259"""
"""FAD [extracellular region]""","[""FAD"", ""Flavin adenine dinucleotide""]","[""extracellular region""]","""R-ALL-2160490"""
"""FAD [mitochondrial inner membrane]""","[""FAD"", ""Flavin adenine dinucleotide""]","[""mitochondrial inner membrane""]","""R-ALL-113597"""
"""FAD [mitochondrial intermembrane space]""","[""FAD"", ""Flavin adenine dinucleotide""]","[""mitochondrial intermembrane space""]","""R-ALL-189484"""
"""FAD [mitochondrial matrix]""","[""FAD"", ""Flavin adenine dinucleotide""]","[""mitochondrial matrix""]","""R-ALL-113596"""
"""FAD [mitochondrial outer membrane]""","[""FAD""]","[""mitochondrial outer membrane""]","""R-ALL-141707"""
"""FAD [peroxisomal matrix]""","[""FAD""]","[""peroxisomal matrix""]","""R-ALL-141335"""
"""FADH2 [mitochondrial inner membrane]""","[""FADH2""]","[""mitochondrial inner membrane""]","""R-ALL-164934"""
"""FADH2 [mitochondrial matrix]""","[""FADH2""]","[""mitochondrial matrix""]","""R-ALL-31649"""
"""GDP [Golgi lumen]""","[""GDP""]","[""Golgi lumen""]","""R-ALL-205689"""
"""GDP [cilium]""","[""GDP"", ""Guanosine 5'-diphosphate"", ""Guanosine diphosphate""]","[""cilium""]","""R-ALL-5617810"""
"""GDP [cytoplasmic vesicle membrane]""","[""GDP"", ""Guanosine 5'-diphosphate"", ""Guanosine diphosphate""]","[""cytoplasmic vesicle membrane""]","""R-ALL-1996292"""
